tarikh,nama_kluster,kategori_kluster,negeri,daerah,jumlah_kes,jumlah_disaring
2021-05-20,Jalan Dato Dol Said,Tempat Kerja,Melaka,Alor Gajah dan Jasin,27,136
2021-05-20,Jalan Pengalat Lok Kawi,Tempat Kerja,Sabah,Papar dan Kota Kinabalu,16,71
2021-05-20,Jalan Tun Fuad,Tempat Kerja,Sabah,"Kota Kinabalu, Penampang dan Putatan",11,641
2021-05-20,Jalan Bunga Azalea,Tempat Kerja,Selangor,Hulu Selangor,11,55
2021-05-20,Jalan Kampung Juru,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah dan Seberang Perai Selatan,12,201
2021-05-20,Teknologi Juru,Tempat Kerja,Pulau Pinang,Sebarang Perai Tengah,20,108
2021-05-20,Jalan Makasar,Tempat Kerja,Johor,Kluang,27,36
2021-05-20,Taman Sri Muda,Keagamaan,Selangor,Klang,16,28
2021-05-20,Jalan Iskandar,Keagamaan,Selangor,Klang,13,22
2021-05-20,Bukit Tempayan,Tempat Kerja,Melaka,Melaka Tengah,11,62
2021-05-20,Tok Dor,Kumpulan Berisiko Tinggi,Terengganu,"Setiu, Kuala Nerus, dan Besut",25,63
2021-05-20,Jalan Kretam Silimpopom,Keagamaan,Sabah,Kalabakan,42,142
2021-05-20,Dah Berapit,Keagamaan,Kedah,Kuala Muda dan Kulim,36,61
2021-05-20,Taman Maju Jaya,Keagamaan,Johor,Batu Pahat,12,64
2021-05-20,Sri Tanjung,Komuniti,Pahang,Bentong,17,47
2021-05-20,Jalan Dara,Komuniti,Pahang,Maran,11,20
2021-05-20,Kandis,Institusi Pendidikan KPM,Kelantan,Bachok,25,48
2021-05-20,Padang Lalang Dua,Komuniti,Pulau Pinang,Seberang Perai Tengah,10,26
2021-05-20,Dah Insun,Komuniti,Kedah,Pendang dan Kuala Muda,35,284
2021-05-20,Kampung Tebakang,Komuniti,Sarawak,Serian,18,78
2021-05-20,Kenyalang Park,Komuniti,Sarawak,Kuching dan Samarahan,27,65
