tarikh,nama_kluster,kategori_kluster,daerah
2021-05-23,Permai Sejahtera,Keagamaan,Lipis
2021-05-23,Permai Sejahtera,Keagamaan,Kuantan
2021-05-23,Parit Dato Onn,Keagamaan,Pontian
2021-05-23,Dah Seri Perigi,Keagamaan,Yan
2021-05-23,Taman Majupadu,Keagamaan,Kluang
2021-05-23,Jalan Temiang,Kumpulan Berisiko Tinggi,Seremban
2021-05-23,Terendak Permai,Keagamaan,Melaka Tengah
2021-05-23,Kampung Paroh,Komuniti,Besut
2021-05-23,Jalan Desa Satu,Keagamaan,Kuala Selangor
2021-05-23,Jarum Laut,Komuniti,Tangkak
2021-05-23,Bukit Temedak,Komuniti,Pakan
2021-05-23,Jalan Kempas Dua,Tempat Kerja,Muar
2021-05-23,Jalan Bukit Puchong,Tempat Kerja,Petaling
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Sepang
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Kuala Langat
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Petaling
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Cheras
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Putrajaya
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Seremban
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Rembau
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Port Dickson
2021-05-23,Industri Bukit Minyak,Tempat Kerja,Seberang Perai Tengah
2021-05-23,Persiaran Cassia Selatan Dua,Tempat Kerja,Seberang Perai Selatan
2021-05-23,Jalan Kilang Ubi,Tempat Kerja,Seberang Perai Tengah
2021-05-23,Jalan Perindustrian Lima,Tempat Kerja,Muar
2021-05-23,Bandar Jalan Putra,Tempat Kerja,Kuantan
2021-05-23,Simpang Juasseh,Komuniti,Jempol
2021-05-23,Simpang Juasseh,Komuniti,Kuala Pilah
2021-05-23,Simpang Juasseh,Komuniti,Seremban
2021-05-23,Kemuning Tujuh,Tempat Kerja,Klang
